"State","rate2020","deaths2020","rate2019","deaths2019"
"Mississippi","20.5000","576","15.4000","434"
"Louisiana","19.9000","873","14.7000","650"
"Alabama","14.2000","654","12.8000","587"
"Missouri","14","803","10.8000","628"
"Arkansas","13","371","9.4000","270"
"South Carolina","12.7000","622","11","527"
"Tennessee","11.5000","753","9.2000","596"
"Maryland","11.4000","649","10","578"
"Illinois","11.2000","1353","8.1000","979"
"New Mexico","10.8000","216","11.8000","230"
"Georgia","10.5000","1093","8.1000","849"
"Delaware","9.9000","86","6.1000","53"
"Indiana","9.7000","620","7.2000","466"
"Kentucky","9.5000","404","5.9000","250"
"Ohio","9.1000","1004","6.6000","724"
"Oklahoma","9","342","8.8000","333"
"Michigan","8.7000","811","6.5000","612"
"North Carolina","8.6000","884","7","707"
"Pennsylvania","8.5000","994","6.1000","722"
"Florida","7.8000","1530","6.7000","1334"
"Texas","7.6000","2212","5.9000","1694"
"Arizona","7.5000","525","5.9000","414"
"Alaska","7.3000","55","10.8000","78"
"Nevada","7.3000","217","5.5000","166"
"Kansas","7","195","4.9000","137"
"West Virginia","7","114","5.7000","92"
"Montana","6.6000","65","3.7000","39"
"South Dakota","6.5000","52","3.6000","29"
"Virginia","6.4000","531","5.3000","436"
"California","6.1000","2368","4.5000","1794"
"Wisconsin","6.1000","334","4.2000","226"
"Colorado","5.8000","336","4.3000","250"
"Wyoming","4.9000","25","4.4000","25"
"New York","4.7000","875","3.2000","601"
"Connecticut","4.6000","152","3.1000","106"
"North Dakota","4.4000","30","3.1000","21"
"New Jersey","4.3000","362","3.4000","287"
"Washington","4.2000","322","3.2000","241"
"Nebraska","4.1000","76","3.1000","58"
"Oregon","3.8000","157","3","126"
"Iowa","3.6000","106","2.7000","80"
"Minnesota","3.6000","198","2.8000","154"
"Hawaii","3.3000","46","2.5000","35"
"Rhode Island","3","29","2.5000","23"
"Utah","2.9000","95","2.6000","82"
"Massachusetts","2.7000","183","2.3000","157"
"Idaho","2.5000","42","1.7000","27"
"Maine","1.6000","21","1.8000","23"
"New Hampshire","0","14","2.8000","38"
"Vermont","0","14","","11"
